Video,Happy,Sad,Angry,Surprised,LeftEyeClosed,RightEyeClosed,MouthOpen
26,49.3,0.0,0.0,0.0,100.0,100.0,3.3
27,58.5,0.0,0.0,0.0,100.0,100.0,2.7
27,39.45,0.0,0.0,0.0,40.05,13.75,1.65
27,8.9,0.0,0.0,0.0,13.15,6.9,4.65
27,9.25,0.0,0.0,0.0,0.0,18.75,0.0
28,30.0,0.0,0.0,0.0,42.5,61.3,0.0
28,13.55,0.0,0.0,0.0,51.3,76.9,1.65
28,10.0,0.0,0.0,0.0,30.65,90.65,5.300000000000001
28,40.75,0.0,0.0,0.0,71.25,63.15,0.0
28,64.6,0.0,0.0,0.0,42.5,50.0,5.0
28,31.65,0.0,0.0,0.0,0.0,8.75,0.0
28,10.2,0.0,0.0,18.65,13.75,0.65,2.0
28,0.0,0.0,0.0,18.65,68.15,50.0,1.7999999999999998
28,10.2,0.0,0.0,12.65,51.25,60.65,3.65
28,27.799999999999997,0.0,48.9,0.0,33.15,58.15,4.65
29,0.0,0.0,0.0,0.0,100.0,100.0,0.0
29,7.2,0.0,0.0,0.0,100.0,95.0,3.0
29,10.0,0.0,16.95,0.0,100.0,95.0,1.35
29,8.35,0.0,16.5,0.0,56.25,62.5,5.3
29,0.0,0.0,0.0,0.0,10.65,12.5,4.35
29,15.55,0.0,0.0,0.0,2.5,8.8,0.0
30,35.3,0.0,0.0,0.0,42.5,47.5,0.0
30,55.900000000000006,0.0,0.0,0.0,28.15,36.9,0.0
30,65.25,0.0,0.0,0.0,56.9,50.0,2.65
30,34.15,0.0,0.0,0.0,70.0,50.0,2.7
31,75.1,0.0,0.0,8.0,0.0,0.0,0.7
31,58.65,0.0,0.0,1.2,0.0,0.3,0.0
31,65.1,0.0,3.8,1.4,0.0,0.0,3.35
31,84.2,0.0,0.0,0.0,0.0,6.9,4.0
31,100.0,0.0,0.0,0.0,0.0,0.0,0.7
32,33.6,0.0,0.0,0.0,0.0,0.0,0.0
32,31.4,0.0,0.0,0.0,8.15,17.5,0.0
32,28.900000000000002,0.0,0.0,0.0,13.15,6.9,0.35
32,10.55,0.0,16.1,0.0,30.65,18.75,4.65
32,19.15,0.0,0.0,0.0,36.9,11.25,0.0
32,38.6,0.0,0.0,0.0,27.55,4.4,0.35
33,0.0,0.0,0.0,0.0,0.0,7.5,0.0
33,18.45,0.0,0.0,0.0,15.95,25.65,0.0
33,18.45,0.0,1.65,8.0,13.75,26.9,0.0
33,0.0,0.0,0.0,11.25,0.0,0.0,4.35
33,0.0,0.0,13.45,0.5,0.0,1.25,0.0
34,0,0,0,0,0,0,0
34,100.0,0.0,0.0,0.0,37.5,48.8,0.0
34,13.0,0.0,0.0,0.0,56.3,72.5,0.7
34,34.449999999999996,0.0,0.0,0.0,26.9,80.0,0.0
34,52.2,0.0,0.0,0.0,36.3,58.8,0.0
35,0.0,0.0,0.0,0.0,0.0,38.8,0.0
35,0.0,0.0,0.0,12.0,0.0,1.25,0.0
35,0.0,0.0,0.0,16.35,0.0,18.75,0.0
35,1.85,0.0,0.0,16.35,0.0,19.4,0.0
35,0.0,0.0,0.0,18.65,0.0,1.25,0.0
35,0.0,0.0,0.0,10.7,0.0,12.5,0.0
36,0.0,0.0,21.4,0.0,50.0,82.5,0.0
36,0.0,0.0,34.15,0.0,57.5,58.15,0.0
36,0.0,0.0,0.0,0.0,54.4,58.15,0.0
36,0.0,0.0,0.0,0.0,31.25,35.65,0.0
36,0.0,0.0,0.0,0.0,20.65,33.75,0.0
36,0.0,0.0,6.85,0.0,23.75,0.0,0.0
36,0.0,0.0,1.65,0.0,31.25,25.049999999999997,0.0
36,0.0,0.0,17.95,0.0,46.3,46.25,0.0
36,0.0,0.0,31.1,0.0,25.0,33.15,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.3
37,10.2,0.0,0.0,8.35,0.0,0.0,0.0
37,13.25,0.0,0.0,6.0,0.0,4.4,0.0
37,23.6,0.0,0.0,0.0,0.0,43.15,0.3
37,20.0,0.0,0.0,0.0,7.5,53.8,0.0
38,0.0,0.0,0.0,0.0,10.6,0.0,0.0
38,0.0,0.0,0.0,0.2,66.55,50.0,2.0
38,0.0,0.0,0.0,3.0,55.3,68.15,0.0
38,0.0,0.0,0.0,0.0,49.7,28.15,1.65
38,0.0,0.0,0.0,0.0,53.15,50.0,3.35
38,0.0,0.0,0.0,0.0,100.0,100.0,0.0
39,100.0,0.0,0.0,0.0,85.0,60.0,8.0
39,70.75,0.0,0.0,13.0,42.5,50.65,6.65
39,31.85,0.0,0.0,0.0,0.0,28.75,2.15
39,49.7,0.0,0.0,0.0,34.4,60.0,4.35
39,62.5,0.0,0.0,0.0,60.65,81.9,2.65
39,56.949999999999996,0.0,0.0,11.5,35.0,28.15,3.35
40,0.0,0.0,0.0,0.0,47.5,65.6,0.3
40,0.0,0.0,0.0,0.0,73.75,100.0,0.35
40,0.0,0.0,0.0,0.0,100.0,100.0,6.0
40,0.0,0.0,0.0,2.0,92.5,59.4,1.65
41,0.0,0.0,0.0,0.0,89.4,50.0,8.7
41,0.0,0.0,0.0,0.0,44.7,39.4,6.0
41,0.0,0.0,0.0,0.0,35.6,31.9,8.7
41,18.85,0.0,0.0,0.0,57.5,33.15,0.0
42,35.0,0.0,0.0,0.0,40.0,43.8,0.7
42,32.449999999999996,0.0,0.0,0.0,74.4,58.75,3.35
42,25.4,0.0,0.0,0.0,72.5,54.4,4.65
42,5.15,0.0,0.0,0.0,39.4,70.0,5.65
42,19.05,0.0,0.0,0.0,0.0,4.4,2.0
42,47.8,0.0,0.0,0.0,0.0,29.4,3.15
42,34.7,0.0,0.0,0.0,18.15,42.5,5.65
42,14.4,0.0,0.0,0.0,31.3,32.5,8.0
42,0,0,0,0,0,0,0
43,96.7,0.0,0.0,0.0,12.5,0.0,6.0
43,83.35,0.0,0.0,0.0,82.5,75.65,3.65
43,91.95,0.0,0.0,0.0,94.05,72.2,3.65
43,63.05,0.0,0.0,0.0,18.75,5.0,0.0
43,64.15,0.0,0.0,0.0,16.6,0.0,3.0
43,96.9,0.0,0.0,0.0,23.8,0.0,4.7
